DS,Size,Op,OpCount,Cache,Misses
AutoLoad,1000000,Select,10000,Dw,39359345
AutoLoad,1000000,Select,10000,D1mw,9881
AutoLoad,1000000,Select,10000,DLmw,6229
AutoLoad,1000000,Delete,10000,Ir,786718058
AutoLoad,1000000,Delete,10000,I1mr,664305
AutoLoad,1000000,Delete,10000,ILmr,559
AutoLoad,1000000,Delete,10000,Dr,239868124
AutoLoad,1000000,Delete,10000,D1mr,2248527
AutoLoad,1000000,Delete,10000,DLmr,-7896
AutoLoad,1000000,Delete,10000,Dw,106342579
AutoLoad,1000000,Delete,10000,D1mw,397111
AutoLoad,1000000,Delete,10000,DLmw,6353
AutoLoad,10000000,Add,10000,Ir,272291338
AutoLoad,10000000,Add,10000,I1mr,895555
AutoLoad,10000000,Add,10000,ILmr,175
AutoLoad,10000000,Add,10000,Dr,76344486
AutoLoad,10000000,Add,10000,D1mr,672481
AutoLoad,10000000,Add,10000,DLmr,17213
AutoLoad,10000000,Add,10000,Dw,34500313
AutoLoad,10000000,Add,10000,D1mw,106288
AutoLoad,10000000,Add,10000,DLmw,6454
AutoLoad,10000000,Select,10000,Ir,372541539
AutoLoad,10000000,Select,10000,I1mr,481860
AutoLoad,10000000,Select,10000,ILmr,482
AutoLoad,10000000,Select,10000,Dr,109075165
AutoLoad,10000000,Select,10000,D1mr,550442
AutoLoad,10000000,Select,10000,DLmr,106306
AutoLoad,10000000,Select,10000,Dw,44946144
AutoLoad,10000000,Select,10000,D1mw,34302
AutoLoad,10000000,Select,10000,DLmw,40499
AutoLoad,10000000,Delete,10000,Ir,1181211675
AutoLoad,10000000,Delete,10000,I1mr,574902
AutoLoad,10000000,Delete,10000,ILmr,572
AutoLoad,10000000,Delete,10000,Dr,364384599
AutoLoad,10000000,Delete,10000,D1mr,5211370
AutoLoad,10000000,Delete,10000,DLmr,16036
AutoLoad,10000000,Delete,10000,Dw,174592286
AutoLoad,10000000,Delete,10000,D1mw,1096255
AutoLoad,10000000,Delete,10000,DLmw,43043
SkipList,10000,Add,10000,Ir,1321624683
SkipList,10000,Add,10000,I1mr,1874837
SkipList,10000,Add,10000,ILmr,-6
SkipList,10000,Add,10000,Dr,405875716
SkipList,10000,Add,10000,D1mr,2731407
SkipList,10000,Add,10000,DLmr,8
SkipList,10000,Add,10000,Dw,169074160
SkipList,10000,Add,10000,D1mw,341407
SkipList,10000,Add,10000,DLmw,23930
SkipList,10000,Select,10000,Ir,627012623
SkipList,10000,Select,10000,I1mr,1215306
SkipList,10000,Select,10000,ILmr,-8
SkipList,10000,Select,10000,Dr,198634610
SkipList,10000,Select,10000,D1mr,652537
SkipList,10000,Select,10000,DLmr,-84
SkipList,10000,Select,10000,Dw,73076522
SkipList,10000,Select,10000,D1mw,41542
SkipList,10000,Select,10000,DLmw,139
SkipList,10000,Delete,10000,Ir,659153927
SkipList,10000,Delete,10000,I1mr,1483911
SkipList,10000,Delete,10000,ILmr,-7
SkipList,10000,Delete,10000,Dr,208406766
SkipList,10000,Delete,10000,D1mr,509376
SkipList,10000,Delete,10000,DLmr,-84
SkipList,10000,Delete,10000,Dw,80626246
SkipList,10000,Delete,10000,D1mw,98624
SkipList,10000,Delete,10000,DLmw,90
SkipList,100000,Add,10000,Ir,1566172837
SkipList,100000,Add,10000,I1mr,1863739
SkipList,100000,Add,10000,ILmr,-75
SkipList,100000,Add,10000,Dr,485728852
SkipList,100000,Add,10000,D1mr,4670873
SkipList,100000,Add,10000,DLmr,141027
SkipList,100000,Add,10000,Dw,198471226
SkipList,100000,Add,10000,D1mw,775010
SkipList,100000,Add,10000,DLmw,50865
SkipList,100000,Select,10000,Ir,963495202
SkipList,100000,Select,10000,I1mr,1218975
SkipList,100000,Select,10000,ILmr,-64
SkipList,100000,Select,10000,Dr,305998890
SkipList,100000,Select,10000,D1mr,2383611
SkipList,100000,Select,10000,DLmr,-10904
SkipList,100000,Select,10000,Dw,109815392
SkipList,100000,Select,10000,D1mw,317954
SkipList,100000,Select,10000,DLmw,-1377
SkipList,100000,Delete,10000,Ir,1536683276
SkipList,100000,Delete,10000,I1mr,1540332
SkipList,100000,Delete,10000,ILmr,-44
SkipList,100000,Delete,10000,Dr,478397847
SkipList,100000,Delete,10000,D1mr,3379715
SkipList,100000,Delete,10000,DLmr,-111607
SkipList,100000,Delete,10000,Dw,192106644
SkipList,100000,Delete,10000,D1mw,380946
SkipList,100000,Delete,10000,DLmw,-12441
SkipList,1000000,Add,10000,Ir,7797847586
SkipList,1000000,Add,10000,I1mr,1978887
SkipList,1000000,Add,10000,ILmr,-155
SkipList,1000000,Add,10000,Dr,2456057479
SkipList,1000000,Add,10000,D1mr,40488746
SkipList,1000000,Add,10000,DLmr,85891
SkipList,1000000,Add,10000,Dw,870289338
SkipList,1000000,Add,10000,D1mw,4116131
SkipList,1000000,Add,10000,DLmw,33670
SkipList,1000000,Select,10000,Ir,-566481875
SkipList,1000000,Select,10000,I1mr,1250684
SkipList,1000000,Select,10000,ILmr,-34
SkipList,1000000,Select,10000,Dr,-85795175
SkipList,1000000,Select,10000,D1mr,-17124468
SkipList,1000000,Select,10000,DLmr,3977
SkipList,1000000,Select,10000,Dw,2796882
SkipList,1000000,Select,10000,D1mw,-189152
SkipList,1000000,Select,10000,DLmw,8
SkipList,1000000,Delete,10000,Ir,3811408874
SkipList,1000000,Delete,10000,I1mr,1639968
SkipList,1000000,Delete,10000,ILmr,-49
SkipList,1000000,Delete,10000,Dr,1269426712
SkipList,1000000,Delete,10000,D1mr,18646566
SkipList,1000000,Delete,10000,DLmr,-79385
SkipList,1000000,Delete,10000,Dw,495961117
SkipList,1000000,Delete,10000,D1mw,-623703
SkipList,1000000,Delete,10000,DLmw,-3276
SkipList,10000000,Add,10000,Ir,-30580968975
SkipList,10000000,Add,10000,I1mr,1803267
SkipList,10000000,Add,10000,ILmr,-178
SkipList,10000000,Add,10000,Dr,-10011314927
SkipList,10000000,Add,10000,D1mr,-112556424
SkipList,10000000,Add,10000,DLmr,91903
SkipList,10000000,Add,10000,Dw,-3345371138
SkipList,10000000,Add,10000,D1mw,7100353
SkipList,10000000,Add,10000,DLmw,34715
SkipList,10000000,Select,10000,Ir,-2956299544
SkipList,10000000,Select,10000,I1mr,1101522
SkipList,10000000,Select,10000,ILmr,-210
SkipList,10000000,Select,10000,Dr,-439754398
SkipList,10000000,Select,10000,D1mr,-12215591
SkipList,10000000,Select,10000,DLmr,9185
SkipList,10000000,Select,10000,Dw,106888182
SkipList,10000000,Select,10000,D1mw,6979324
SkipList,10000000,Select,10000,DLmw,833
SkipList,10000000,Delete,10000,Ir,-25754224862
SkipList,10000000,Delete,10000,I1mr,1248309
SkipList,10000000,Delete,10000,ILmr,-181
SkipList,10000000,Delete,10000,Dr,-8161617803
SkipList,10000000,Delete,10000,D1mr,-18911288
SkipList,10000000,Delete,10000,DLmr,-92848
SkipList,10000000,Delete,10000,Dw,-2548880702
SkipList,10000000,Delete,10000,D1mw,6254451
SkipList,10000000,Delete,10000,DLmw,-2219
