DS,Size,Op,OpCount,Cache,Misses
SortedArray,1000000,Base,1000000,Dw,107869505
SortedArray,1000000,Base,1000000,D1mw,2007652
SortedArray,1000000,Base,1000000,DLmw,835814
AutoLoad,1000000,Base,1000000,Ir,540539892
AutoLoad,1000000,Base,1000000,I1mr,10291058
AutoLoad,1000000,Base,1000000,ILmr,68647
AutoLoad,1000000,Base,1000000,Dr,167571297
AutoLoad,1000000,Base,1000000,D1mr,5686716
AutoLoad,1000000,Base,1000000,DLmr,559567
AutoLoad,1000000,Base,1000000,Dw,101227552
AutoLoad,1000000,Base,1000000,D1mw,2139729
AutoLoad,1000000,Base,1000000,DLmw,934468
RBSTree,1000000,Base,1000000,Ir,10025301602
RBSTree,1000000,Base,1000000,I1mr,22164796
RBSTree,1000000,Base,1000000,ILmr,73740
RBSTree,1000000,Base,1000000,Dr,3467376233
RBSTree,1000000,Base,1000000,D1mr,97484805
RBSTree,1000000,Base,1000000,DLmr,6721843
RBSTree,1000000,Base,1000000,Dw,1991643268
RBSTree,1000000,Base,1000000,D1mw,142405217
RBSTree,1000000,Base,1000000,DLmw,4208660
SkipList,1000000,Base,1000000,Ir,8666896919
SkipList,1000000,Base,1000000,I1mr,19880950
SkipList,1000000,Base,1000000,ILmr,93689
SkipList,1000000,Base,1000000,Dr,2745497816
SkipList,1000000,Base,1000000,D1mr,30282789
SkipList,1000000,Base,1000000,DLmr,11032259
SkipList,1000000,Base,1000000,Dw,1474133171
SkipList,1000000,Base,1000000,D1mw,48031329
SkipList,1000000,Base,1000000,DLmw,5769653
BadBisect,1000000,Add,1000000,Ir,3038518218
BadBisect,1000000,Add,1000000,I1mr,11613502
BadBisect,1000000,Add,1000000,ILmr,66533
BadBisect,1000000,Add,1000000,Dr,976754645
BadBisect,1000000,Add,1000000,D1mr,7685115
BadBisect,1000000,Add,1000000,DLmr,548390
BadBisect,1000000,Add,1000000,Dw,821939899
BadBisect,1000000,Add,1000000,D1mw,18706960
BadBisect,1000000,Add,1000000,DLmw,1132385
SortedList,1000000,Add,1000000,Ir,3028075937
SortedList,1000000,Add,1000000,I1mr,11542002
SortedList,1000000,Add,1000000,ILmr,66943
SortedList,1000000,Add,1000000,Dr,977017340
SortedList,1000000,Add,1000000,D1mr,7915141
SortedList,1000000,Add,1000000,DLmr,548672
SortedList,1000000,Add,1000000,Dw,816978140
SortedList,1000000,Add,1000000,D1mw,18582521
SortedList,1000000,Add,1000000,DLmw,1138228
SortedArray,1000000,Add,1000000,Ir,3026912978
